respid,y,t,w,yborn,age_1990,e_hat,m1_hat,m0_hat,psi_aipw,cate_hat
150,0,0,1.2038247711023995,1952.0,38.0,0.23188287264150487,0.23569747076252054,0.047672225146685135,0.2500889901265545,0.15785092679393425
151,0,0,1.2038247711023995,1981.0,9.0,0.12923102431478448,0.14886659276467984,0.09849773622535742,0.16348466449268767,0.08046577301574868
152,0,0,1.2075648348440184,1969.0,21.0,0.13842475315979083,0.4195164200545362,0.12139258488715678,0.43901992675352813,0.3122652156144874
154,0,0,1.2524284086434012,1978.0,12.0,0.11017777977593307,0.2719716351034231,0.10586983449081375,0.28508043711390346,0.16456336774089808
155,0,0,1.2038247711023995,1958.0,32.0,0.17790573878928387,0.37638348592212734,0.05354997595008773,0.3879719964896605,0.262569404771159
158,0,1,1.2075648348440184,1978.0,12.0,0.1088961668793159,0.39876969450245686,0.120343035548399,-3.383499246522423,0.16456336774089808
159,0,0,1.2524284086434012,1966.0,24.0,0.14275600666736835,0.33413624883484333,0.11193708120744418,0.35277702186499643,0.28458263461300387
160,0,0,1.2075648348440184,1977.0,13.0,0.11455429003110687,0.324925949570886,0.09972331827145221,0.33782762586285614,0.18344182111382
161,0,0,0.5445972257083529,1973.0,17.0,0.12361001772081047,0.26485996813647456,0.1566744369029651,0.28695804127009006,-0.1154133041123597
162,0,1,0.5445972257083529,1963.0,27.0,0.1524884590703631,0.3050224261574867,0.1890533083090584,-1.8843293179613239,0.10703759096828099
163,0,0,1.2524284086434012,1964.0,26.0,0.1526465888842483,0.3026040776527743,0.0993321394371846,0.320498278647015,0.22404256755729612
164,0,0,1.2524284086434012,1961.0,29.0,0.19417954586579578,0.2717242718208367,0.06701753162853881,0.2878735688384438,0.18510914339070403
165,0,0,1.2075648348440184,1943.0,47.0,0.24518428602453585,0.11473128451136243,0.03769211958226602,0.12697469075930087,0.059515746408375717
166,0,0,1.2075648348440184,1961.0,29.0,0.1869971366818506,0.26570562053483826,0.03188870860174147,0.2730402776068565,0.18510914339070403
167,0,1,0.5011444524580629,1960.0,30.0,0.1990662789622698,0.15708527558782862,0.06572133300119108,-0.697746480367528,0.1574244786338341
171,0,0,1.2075648348440184,1961.0,29.0,0.1592745825882315,0.305124527788695,0.07933032366594238,0.32015357761495206,0.1974507588668177
174,0,0,1.2038247711023995,1959.0,31.0,0.2028630381221621,0.14497296568162732,0.043084909869658704,0.1559376256226099,0.10944231543607615
176,0,0,1.2075648348440184,1970.0,20.0,0.13191857247489866,0.3371914812964596,0.16525293299728241,0.3623042533556927,0.13652479861405467
177,0,0,0.5445972257083529,1971.0,19.0,0.16112589528696733,0.24715089671818147,0.06151175663410276,0.2589657051651943,0.12246528903041656
178,0,1,0.5445972257083529,1939.0,51.0,0.29523600925147264,0.030842397148791632,0.040137151406643035,-0.11376167625353878,0.008254658506603242
179,0,0,0.5011444524580629,1983.0,7.0,0.09909900269649372,0.3056742770819254,0.2035890995737193,0.3280690538532023,0.047315634348001935
181,0,0,1.2075648348440184,1950.0,40.0,0.24547835710458388,0.210215654627731,0.06282980949487595,0.23065689519017563,0.1991206310980105
188,0,1,0.5408545025487828,1939.0,51.0,0.26577603487560764,0.14567694304630197,0.049701985453717804,-0.45214422521667025,0.14495478146468688
189,0,0,1.2075648348440184,1984.0,6.0,0.1241002456146462,0.1330164299839337,0.06730446229771149,0.14255233892818142,0.07834689667803958
190,0,0,1.2524284086434012,1945.0,45.0,0.26517434370858217,0.028600308859519058,0.01170477448245076,0.03282417592930184,0.015668065774821736
191,0,0,1.2524284086434012,1958.0,32.0,0.19966110728929262,0.10224056505723784,0.041925904150083626,0.1126998498963869,0.08428464898503431
192,0,0,1.2524284086434012,1989.0,1.0,0.08400542961120191,0.2719716351034231,0.145625741736322,0.2853269031284477,0.154745865279956
198,0,0,1.2524284086434012,1948.0,42.0,0.21922434998159016,0.20310140845253272,0.11242469712238726,0.23466775039461474,0.07639730350578791
199,0,0,1.2038247711023995,1959.0,31.0,0.20372334672003017,0.13229151383790025,0.020679074174299934,0.13758215017705072,0.10944231543607615
200,0,0,1.2524284086434012,1990.0,0.0,0.08878106137917695,0.3028216627672638,0.21859606999038286,0.3241197178059758,0.154745865279956
201,0,0,1.2524284086434012,1965.0,25.0,0.17998655651382303,0.33091787664285227,0.016401985035916687,0.3345179844582258,0.29377314245461095
202,0,0,1.2038247711023995,1967.0,23.0,0.17556130775557932,0.3583318946883401,0.06908284840232493,0.37304284326836734,0.2581347499324582
203,1,0,1.2038247711023995,1974.0,16.0,0.1392387212131343,0.20146876574305597,0.034360203735392184,-0.9547353453130223,0.32003459909596826
205,1,1,0.5445972257083529,1957.0,33.0,0.17351390764396096,0.20110023063352062,0.033705356427556225,4.771635423071758,0.31051929734322326
206,0,1,1.2524284086434012,1949.0,41.0,0.2462554100120909,0.147421564845805,0.05512204165551974,-0.5063535778261218,0.03355815707699575
208,0,0,1.2038247711023995,1969.0,21.0,0.1622737217669782,0.22639834932484543,0.10019783709471956,0.24580740495654518,0.27214753382460233
211,0,0,0.5445972257083529,1966.0,24.0,0.14663125960022355,0.32311049298604416,0.0530285524870805,0.3322221970804718,0.28458263461300387
213,0,0,1.2524284086434012,1977.0,13.0,0.1297857010426439,0.1340079191813682,0.035494055700898766,0.13930158179701035,0.11195820221098797
215,1,0,0.5408545025487828,1982.0,8.0,0.09992204772642252,0.2719716351034231,0.2617587538622204,-0.8099841297765633,0.04770243872139411
217,1,0,0.5408545025487828,1988.0,2.0,0.08763364669109966,0.3252326548293914,0.14351748357542052,-0.7570332967472376,0.16793613349089045
219,0,0,1.2075648348440184,1965.0,25.0,0.14594127770035617,0.3375091046051166,0.11387766663392743,0.3569684833763338,0.26350099662014764
220,0,1,0.5011444524580629,1978.0,12.0,0.13158380583103274,0.16939356723067875,0.04150749811350991,-1.1594575075551588,0.06178006420018354
221,0,0,1.2038247711023995,1938.0,52.0,0.2498569948005453,0.1660010539135338,0.044872100207518056,0.18094701492433915,0.14730583794206994
223,0,1,0.5408545025487828,1935.0,55.0,0.3270774555772845,0.02615907795507933,0.026606114102851047,-0.08042527221699003,-0.007406145795965801
